BALANCE GENERAL;SECTOR;NIT;Caja;Bancos;Cuentas De Ahorro;Fondos;SUBTOTAL DISPONIBLE;INVERSIONES CP;Clientes;Cuentas Corrientes Comerciales;Deudas De Difícil Cobro;Provisiones (db);TOTAL DEUDORES COMERCIALES;Cuentas Por Cobrar A Socios y Accionistas;Anticipos y Avances;Anticipo De Imptos, y Contrib,O Saldos A Favor;Cuentas Por Cobrar a Trabajadores;Activos Biológicos CP;Deudores Varios / Otros Activos No Financieros;TOTAL OTROS DEUDORES;Materias Primas;Productos En Proceso;Productos Terminados;M/Cías No Fabricadas Por La Emp;Materiales, Repuestos y Accesorios;Otros Inventarios y Provisiones;SUBTOTAL INVENTARIOS;Gastos Pagados Por Anticipado;Cargos Diferidos;Amortización Acumulada y Otros;SUBTOTAL DIFERIDO;TOTAL ACTIVO CORRIENTE;Inversiones LP;Activos biológicos no corrientes;CxC comerciales y otras CxC no corrientes;Subtotal Deudores A Largo Plazo;Propiedades Planta Y Equipo;Plusvalía;Activos intangibles distintos de la plusvalía;Subtotal Intangibles;Subtotal Diferidos;Inventarios no corrientes;Activos por impuestos corrientes, no corriente;Otros activos no financieros no corrientes;Activos LP pignorados como garantía para Vender;Subtotal Otros Activos;De Inversiones Y Otros;De Propiedades Planta Y Equipo;Subtotal Valorizaciones;TOTAL ACTIVO NO CORRIENTE;TOTAL ACTIVO;Obligaciones Financieras;Proveedores CP;Costos y Gastos Por Pagar;Retención En La Fuente;Deudas Con Accionistas O Socios;Impuesto A Las Ventas Retenido;Impuesto De Industria y Comercio Retenido;Provisiones, Retenciones y Aportes de Nómina;Otras provisiones corrientes;Acreedores;Otras Cuenta Por Pagar;SUBTOTAL CUENTAS POR PAGAR;IMPUESTOS GRAVAMENES Y TASAS;OBLIGACIONES LABORALES;SUBTOTAL PASIVOS ESTIMAD, Y PROVIS,;DIFERIDOS;Anticipos y Avances Recibidos;Otros;SUBTOTAL OTROS PASIVOS;SUBTOTAL BONOS Y PAPELES COMERCIA,;TOTAL PASIVO CORRIENTE;Obligaciones Financieras;Proveedores LP;Subtotal Cuentas Por Pagar;Impuestos Gravámenes y Tasas;Obligaciones Laborales;Subtotal Pasivos Estimad, y Provis,;Subtotal Diferidos;Subtotal Otros Pasivos;Subtotal Bonos y Papeles Comercia,;TOTAL PASIVO NO CORRIENTE;TOTAL PASIVO;Capital Suscrito y Pagado;Prima de emisión;Acciones propias en cartera;Aportes Sociales y Otros;SUBTOTAL CAPITAL SOCIAL;SUBTOTAL SUPERAVIT DE CAPITAL;RESERVAS;REVALORIZACION DEL PATRIMONIO;DIVIDEN, O PARTC, DECRET, EN ACC,O CUOTAS;RESULTADOS DEL EJERCICIO;RESULTADOS DE EJERCICIOS ANTERIORES;SUPERAVIT POR VALORIZACIONES;INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;TOTAL PATRIMONIO;TOTAL PASIVO Y PATRIMONIO
2020;CONFECCION;900351736;0,00;56,90;0,00;0,00;56,90;0,00;116520,13;0,00;0,00;0,00;116520,13;0,00;1329,50;0,00;0,00;0,00;0,00;1329,50;0,00;0,00;0,00;0,00;0,00;63897,48;63897,48;0,00;0,00;0,00;0,00;181804,00;0,00;0,00;0,00;0,00;40906,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1027,12;1027,12;0,00;0,00;0,00;41933,36;223737,37;20130,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3189,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23320,21;3299,74;74894,66;47530,00;21482,32;0,00;0,00;0,00;2571,96;0,00;149778,68;173098,89;3000,00;0,00;0,00;0,00;3000,00;0,00;579,20;42354,92;0,00;0,00;4704,36;0,00;0,00;50638,47;223737,37
2019;CONFECCION;900351736;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2018;CONFECCION;900351736;0,00;1635,41;0,00;0,00;1635,41;0,00;47601,20;0,00;0,00;0,00;47601,20;0,00;0,00;0,00;0,00;0,00;2256,78;2256,78;0,00;0,00;0,00;0,00;0,00;32091,04;32091,04;0,00;0,00;0,00;0,00;83584,42;0,00;0,00;0,00;0,00;41552,27;0,00;742,29;742,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42294,55;125878,97;43634,64;37133,36;0,00;0,00;0,00;0,00;0,00;69,93;0,00;0,00;1872,75;1942,68;4171,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;86882,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;86882,20;3000,00;0,00;0,00;0,00;3000,00;0,00;579,20;0,00;0,00;0,00;35417,58;0,00;0,00;38996,78;125878,97
2017;CONFECCION;900351736;370,52;117,96;0,00;0,00;488,48;0,00;19142,17;0,00;0,00;0,00;19142,17;0,00;1252,43;13,51;0,00;0,00;0,00;1265,94;0,00;0,00;0,00;0,00;0,00;22134,53;22134,53;0,00;0,00;0,00;0,00;43031,13;0,00;0,00;0,00;0,00;18536,92;0,00;253,75;253,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18790,67;61821,80;16588,92;23963,33;1156,13;0,00;0,00;0,00;0,00;67,98;0,00;0,00;0,00;1224,11;553,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42329,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42329,95;3000,00;0,00;0,00;0,00;3000,00;0,00;579,20;0,00;0,00;0,00;15912,65;0,00;0,00;19491,85;61821,80
2016;CONFECCION;900351736;0,00;881,80;0,00;0,00;881,80;311,71;9568,37;0,00;0,00;0,00;9568,37;0,00;0,00;556,88;0,00;0,00;0,00;556,88;0,00;0,00;0,00;0,00;0,00;11712,38;11712,38;0,00;0,00;0,00;0,00;23031,15;0,00;0,00;0,00;0,00;11344,43;0,00;23,33;23,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11367,76;34398,91;8548,28;12943,55;0,00;0,00;0,00;0,00;0,00;27,17;0,00;0,00;520,08;547,24;837,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22876,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22876,46;1475,00;0,00;0,00;0,00;1475,00;0,00;137,42;0,00;0,00;0,00;9910,03;0,00;0,00;11522,45;34398,91
2015;CONFECCION;900351736;286,19;18,71;0,00;0,00;304,90;215,41;2960,74;0,00;0,00;0,00;2960,74;418,13;42,68;817,60;0,00;0,00;689,30;1967,72;2257,62;1352,46;5261,43;0,00;0,00;3,26;8874,77;282,38;0,00;0,00;282,38;14605,91;0,00;0,00;0,00;0,00;2871,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;606,97;0,00;232,00;232,00;3710,82;18316,73;5242,11;6135,42;796,74;113,09;0,00;6,33;2,40;1,88;0,00;0,66;0,00;921,09;70,33;120,59;895,00;0,00;231,26;0,00;231,26;0,00;13615,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13615,81;1475,00;0,00;0,00;0,00;1475,00;0,00;146,88;0,00;0,00;1297,91;1549,13;232,00;0,00;4700,93;18316,73
2014;CONFECCION;900351736;492,02;23,94;0,00;0,00;515,96;77,30;3052,54;0,00;0,00;0,00;3052,54;1,47;583,27;528,00;0,00;0,00;40,79;1153,53;2603,11;1352,46;1350,08;0,00;0,00;378,17;5683,81;90,62;0,00;0,00;90,62;10573,74;0,00;0,00;0,00;0,00;1759,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;189,45;0,00;232,00;232,00;2180,97;12754,72;2103,54;4818,22;784,87;135,90;0,00;1,91;2,71;1,13;0,00;591,24;0,00;1517,74;333,15;3,53;469,95;0,00;18,17;0,00;18,17;0,00;9264,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9264,29;1475,00;0,00;0,00;0,00;1475,00;0,00;78,78;0,00;0,00;995,64;709,00;232,00;0,00;3490,43;12754,72
2013;CONFECCION;900351736;113,57;22,93;0,00;0,00;136,49;0,00;1763,55;0,00;0,00;0,00;1763,55;0,00;185,34;409,33;0,00;0,00;538,11;1132,77;1481,29;0,00;2494,09;0,00;0,00;0,00;3975,39;16,09;0,00;0,00;16,09;7024,28;0,00;0,00;0,00;0,00;712,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;147,84;232,00;0,00;232,00;1091,88;8116,16;2057,18;2073,64;331,26;175,00;0,00;0,15;1,28;0,00;0,00;562,43;0,00;1070,10;28,73;5,03;157,78;0,00;207,01;0,00;207,01;0,00;5599,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5599,47;1475,00;0,00;0,00;0,00;1475,00;0,00;0,00;0,00;0,00;473,35;336,34;232,00;0,00;2516,69;8116,16
2012;CONFECCION;900351736;34,15;0,00;0,00;0,00;34,15;0,00;1788,14;0,00;0,00;0,00;1788,14;0,00;122,37;274,69;0,00;0,00;337,25;734,31;2178,03;0,00;288,73;118,81;0,00;4,99;2590,55;20,60;0,00;0,00;20,60;5167,76;0,00;0,00;0,00;0,00;527,52;0,00;0,00;3,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;232,00;232,00;762,65;5930,41;313,46;791,79;77,61;167,35;0,00;0,00;0,00;0,67;0,00;2349,11;0,00;2594,74;165,10;4,00;0,00;0,00;1001,38;0,00;1001,38;0,00;4870,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4870,47;475,00;0,00;0,00;0,00;475,00;0,00;0,00;0,00;0,00;307,43;45,51;232,00;0,00;1059,94;5930,41
2011;CONFECCION;900351736;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
